2025-12-08 14:37:31 | src.data_ingestion.sec_fetcher | ERROR    |   ✗ Failed to process filing 0000320193-25-000079: 'Attachment' object is not callable
2025-12-08 14:37:32 | src.data_ingestion.sec_fetcher | ERROR    |   ✗ Failed to process filing 0000320193-25-000073: 'Attachment' object is not callable
2025-12-08 14:37:32 | src.data_ingestion.sec_fetcher | ERROR    |   ✗ Failed to process filing 0000320193-25-000057: 'Attachment' object is not callable
2025-12-08 14:37:32 | src.data_ingestion.sec_fetcher | ERROR    |   ✗ Failed to process filing 0000320193-25-000008: 'Attachment' object is not callable
2025-12-08 14:37:32 | src.data_ingestion.sec_fetcher | ERROR    |   ✗ Failed to process filing 0000320193-24-000123: 'Attachment' object is not callable
2025-12-08 14:37:32 | src.data_ingestion.sec_fetcher | ERROR    |   ✗ Failed to process filing 0000320193-24-000081: 'Attachment' object is not callable
2025-12-08 14:37:32 | src.data_ingestion.sec_fetcher | ERROR    |   ✗ Failed to process filing 0000320193-24-000069: 'Attachment' object is not callable
2025-12-08 14:37:33 | src.data_ingestion.sec_fetcher | ERROR    |   ✗ Failed to process filing 0000320193-24-000006: 'Attachment' object is not callable
2025-12-08 16:26:43 | src.data_ingestion.sec_fetcher | ERROR    |   ✗ Failed to process filing 0000320193-25-000079: 'Attachment' object is not callable
2025-12-08 16:26:43 | src.data_ingestion.sec_fetcher | ERROR    |   ✗ Failed to process filing 0000320193-25-000073: 'Attachment' object is not callable
2025-12-08 16:26:43 | src.data_ingestion.sec_fetcher | ERROR    |   ✗ Failed to process filing 0000320193-25-000057: 'Attachment' object is not callable
2025-12-08 16:26:43 | src.data_ingestion.sec_fetcher | ERROR    |   ✗ Failed to process filing 0000320193-25-000008: 'Attachment' object is not callable
2025-12-08 16:26:43 | src.data_ingestion.sec_fetcher | ERROR    |   ✗ Failed to process filing 0000320193-24-000123: 'Attachment' object is not callable
2025-12-08 16:26:43 | src.data_ingestion.sec_fetcher | ERROR    |   ✗ Failed to process filing 0000320193-24-000081: 'Attachment' object is not callable
2025-12-08 16:26:43 | src.data_ingestion.sec_fetcher | ERROR    |   ✗ Failed to process filing 0000320193-24-000069: 'Attachment' object is not callable
2025-12-08 16:26:43 | src.data_ingestion.sec_fetcher | ERROR    |   ✗ Failed to process filing 0000320193-24-000006: 'Attachment' object is not callable
2025-12-08 16:26:43 | src.data_ingestion.sec_fetcher | ERROR    |   ✗ Failed to process filing 0000320193-23-000106: 'Attachment' object is not callable
2025-12-08 16:26:44 | src.data_ingestion.sec_fetcher | ERROR    |   ✗ Failed to process filing 0000320193-23-000077: 'Attachment' object is not callable
2025-12-08 16:26:44 | src.data_ingestion.sec_fetcher | ERROR    |   ✗ Failed to process filing 0000320193-23-000064: 'Attachment' object is not callable
2025-12-08 16:26:44 | src.data_ingestion.sec_fetcher | ERROR    |   ✗ Failed to process filing 0000320193-23-000006: 'Attachment' object is not callable
